"Compound ID","smiles"
"CHEMBL296468","CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1"
"CHEMBL388978","CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4"
"CHEMBL242865","O=C(O)c1ccccc1Nc1ccnc(Nc2ccc([N+](=O)[O-])cc2)n1"
"CHEMBL1970340","Nc1noc2cccc(-c3cccc(O)c3)c12"
"CHEMBL1970352","CCOC(=O)c1c(C)n(-c2ccc(I)cc2)c2c1cc(O)c1ccccc12"
"CHEMBL1972346","Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1"
"CHEMBL1972355","COc1c(-c2nc3ccccc3[nH]2)c(O)cc2oc(C)cc(=O)c12"
"CHEMBL1973359","NC(=O)c1ccc2nc(-c3ccc([N+](=O)[O-])o3)cn2c1"
"CHEMBL1976936","OC1CCCC(Nc2cc(Cl)nc(-c3c[nH]c4ncccc34)n2)C1"
"CHEMBL1977138","CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F"
"CHEMBL1977749","C=CCc1cccc2c(=NO)cc(-c3ccccc3)oc12"
"CHEMBL1983980","O=C(Nc1nc2ccccc2s1)c1cccc2c1CN(c1nc(C(=O)O)c(-c3ccc(CO)cc3)s1)CC2"
"CHEMBL1986177","O=C(Nc1cccc(Cl)c1)Nc1nc(CCNc2ncnc3ccsc23)cs1"
"CHEMBL1986899","Cc1ccc(NCc2ccc(-c3ccc(F)cc3)nc2)cc1"
"CHEMBL1991734","CN1c2ccc(N)cc2C(c2ccccc2)c2cc(N)ccc21"
"CHEMBL1992042","O=C(Nc1cccc(C2Nc3ccc4ccccc4c3C3C=CCC32)c1)c1ccc(F)cc1"
"CHEMBL1993877","C#Cc1cn(C2CCCC2)c2ncnc(N)c12"
"CHEMBL1995211","CC(C)(C)Nc1ncnc2[nH]cc(-c3ccccc3)c12"
"CHEMBL1997892","Cc1cc(=O)[nH]nc1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)c(Cl)c1"
"CHEMBL2004025","COCOc1cccc(OCOC)c1-c1ccc(NS(C)(=O)=O)cc1C(=O)OC"
"CHEMBL2103840","CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12"
"CHEMBL3361254","NC(=O)C[C@H]1CCc2sc3ncnc(O[C@H]4CC[C@H](N5CCOCC5)CC4)c3c21"
"CHEMBL3797571","CN1c2ccc(-c3cncc(Cl)c3N3CCC4(CCNC4=O)CC3)cc2CS1(=O)=O"
"CHEMBL3948055","Cc1ncc2ccc(C(=O)N3CCC[C@H]3c3ccc(Cl)cc3)cn12"
"CHEMBL4074204","NC(=O)c1sc(Oc2ccc(N)nc2)c2c1CCc1cnsc1-2"
"CHEMBL4104223","c1cc2cc(c1)-c1cnc3ccc(nn13)NCCCCCO2"
"CHEMBL4170388","C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3ccc4c(N)n[nH]c4c3)=CC[C@@H]12"
"CHEMBL4578881","Cc1c(Br)c(Br)c2c3c1nc(N1CCNCC1)n3CCC2.Cl"
"CHEMBL4635162","CN(C)[C@H]1C[C@@]23CC[C@@]4(O2)C(=CC[C@]2(C)[C@@H](c5ccc6cnccc6c5)CC[C@H]24)C=C3[C@@H](O)[C@@H]1O"
"CHEMBL4791276","CCn1c(C(N)=O)cc2c1-c1ccncc1OC2(C)C"
"P076-1220","CCn1cc(cc1C(=O)N2CCN(CC2)c3ccc(Cl)cc3)c4ccncc4"
"P076-1448","CCCn1cc(cc1C(=O)N2CCC(C)CC2)c3ccncc3"
"M628-0340","CC1CCN(CC1)C(=O)c2ccc3ncnc(N4CCCCC4)c3c2"
"L483-0192","COc1ccc2ncc(C#N)c(N3CCC(CC3)C(=O)Nc4ccc(F)c(C)c4)c2c1"
"G887-0711","CCc1cc2c(ncnc2s1)N3CCCC(C3)C(=O)N4CCN(CC4)c5ccc(F)cc5"
